paredao,nome,positivos,neutros,negativos,positivos_individual_pct,neutros_individual_pct,negativos_individual_pct,positivos_global_pct,neutros_global_pct,negativos_global_pct,day1,day2,day3,likes,retweets,seguidores,fica,fora,rejeicao
1,lucas_chumbo,5460,10796,14411,0.17804154302670624,0.35203965174291585,0.4699188052303779,0.5169475478129142,0.6736553101210533,0.7929895999559786,22759,5502,2406,667691,132858,12014,64,1425,0.7594
1,bianca_andrade,5102,5230,3762,0.3619980133390095,0.3710798921526891,0.2669220945083014,0.4830524521870858,0.3263446898789467,0.20701040004402133,5849,5903,2342,407879,57730,411880,576,59,0.2446
2,hadson,14732,30837,54056,0.1478745294855709,0.3095307402760351,0.542594730238394,0.2614467239298644,0.33349916184502243,0.4053115791525767,25263,68537,5825,2416937,583604,10207,24,4289,0.1863
2,pyong,19947,15248,12907,0.4146813022327554,0.3169930564217704,0.2683256413454742,0.35399659260310923,0.16490563997188126,0.09677661225622146,12527,28745,6830,1889184,357422,1431039,293,112,0.0066
2,petrix,17850,41331,62584,0.14659384880712847,0.3394325134480352,0.5139736377448364,0.3167814296869454,0.4469907532579896,0.4692544744280905,46679,64815,10271,3036821,776919,22414,62,10253,0.8027
2,babu,3819,5049,3822,0.30094562647754136,0.3978723404255319,0.3011820330969267,0.06777525378008092,0.0546044449251068,0.028657334163111368,5606,6016,1068,313738,57539,325345,39,141,0.0044
3,hadson,2344,4928,3987,0.2081890043520739,0.4376942890132339,0.35411670663469225,0.4535603715170279,0.5707006369426751,0.5315291294494068,1903,6534,2822,224448,41345,10207,32,1411,0.7970999999999999
3,felipe_prior,2824,3707,3514,0.2811348929815829,0.3690393230462917,0.34982578397212544,0.5464396284829721,0.4292993630573249,0.4684708705505933,1138,6469,2438,434766,81439,204031,116,76,0.2029
4,victor_hugo,2807,4560,4979,0.2273610886116961,0.3693503968896809,0.403288514498623,0.12908121033753334,0.13678085068090468,0.09003453825428112,6845,4229,1272,259802,43392,14399,51,570,0.3608
4,lucas,12173,17964,31523,0.19742134284787544,0.29133960428154393,0.5112390528705806,0.5597811091695024,0.5388445617613534,0.5700258584835717,32223,22154,7283,1337004,250861,23670,218,5952,0.6262
4,babu,6766,10814,18799,0.1859864207372385,0.2972594079001622,0.5167541713625993,0.3111376804929642,0.3243745875577419,0.3399396032621472,18271,15505,2603,614605,87114,325345,136,315,0.013
5,felipe_prior,4887,9452,19076,0.14625168337572947,0.2828669759090229,0.5708813407152477,0.4275590551181102,0.4357969477615381,0.5942679127725856,3101,21636,8678,703621,137701,204031,798,7069,0.2927
5,flayslene,2304,4170,6222,0.18147448015122875,0.3284499054820416,0.4900756143667297,0.2015748031496063,0.19226335930656094,0.19383177570093454,1935,7920,2841,244036,42579,104138,283,2872,0.1764
5,bianca_andrade,4239,8067,6802,0.2218442537157212,0.4221791919614821,0.35597655432279673,0.3708661417322833,0.371939692931901,0.21190031152647976,1998,10238,6872,136880,18673,411880,608,1918,0.5309
6,gizelly_bicalho,20697,18318,14428,0.3872724210841457,0.3427577044701832,0.2699698744456711,0.34273933131303097,0.2427318262528821,0.1067712573077777,20904,23543,8996,2513041,427327,234977,1348,427,0.0064
6,guilherme,15623,26030,61087,0.15206346116410355,0.2533579910453572,0.5945785477905392,0.2587146240084787,0.3449235417274004,0.4520609783171761,49438,35276,18026,2623616,513321,103421,244,27184,0.5607
6,pyong,24067,31118,59615,0.20964285714285716,0.2710627177700348,0.519294425087108,0.3985460446784904,0.4123446320197175,0.44116776437504623,38968,53242,22590,2790406,500118,1431039,1884,14897,0.4329
7,manu_gavassi,11741,12131,10756,0.3390608755920065,0.3503234376804898,0.3106156867275038,0.3643218419337823,0.3362157368143898,0.2646067553937366,13372,15830,5426,1347551,161381,4327060,1823,424,0.1018
7,victor_hugo,5780,10136,12243,0.2052629709861856,0.3599559643453248,0.4347810646684897,0.1793527166661495,0.2809234777306616,0.3011882211124505,14217,9331,4611,1370088,192649,14399,46,2473,0.8522
7,babu,14706,13814,17650,0.3185185185185185,0.2991986138184969,0.38228286766298464,0.4563254414000682,0.3828607854549486,0.4342050234938129,19044,20262,6864,3245989,421069,325345,1590,210,0.046
8,pyong,23320,37894,49091,0.21141380717102576,0.3435383708807397,0.4450478219482345,0.42610729425522587,0.4793735531126264,0.4021907438206113,42474,46841,20990,1884395,331018,1431039,2876,27574,0.517
8,babu,20043,24848,39041,0.23880045751322496,0.2960491826716866,0.4651503598150884,0.3662293524338547,0.3143366772508191,0.3198535134647998,29102,36583,18247,2746925,442326,325345,4768,19543,0.4771
8,rafa,11365,16307,33927,0.18449974837253846,0.2647283235117453,0.5507719281157162,0.20766335331091945,0.20628976963655452,0.27795574271458884,27062,22837,11700,833006,65329,293473,2998,439,0.0059
9,ivy,12919,19342,24191,0.2288492878905973,0.3426273648409268,0.4285233472684759,0.26904494148027824,0.2834532584961238,0.2712938353015061,34835,16734,4883,1801001,319531,59125,71,3050,0.0964
9,flayslene,18049,20419,29529,0.2654381810962249,0.3002926599702928,0.4342691589334824,0.3758798783789412,0.29923648460512625,0.3311576893314941,14010,41155,12832,2048527,340506,104138,2038,1033,0.09539999999999997
9,daniel,17050,28476,35449,0.210558814448904,0.3516640938561285,0.4377770916949676,0.3550751801407805,0.41731025689875,0.3975484753669997,43662,24967,12346,2362234,451548,33876,124,19608,0.8081999999999999
10,manu_gavassi,71199,136446,96911,0.23377966613693374,0.448016128396748,0.31820420546631817,0.5597845742589826,0.551038705091755,0.4288514811176309,42943,170635,90978,6621309,989025,4785334,30069,40235,0.4251
10,mari,19342,23829,25292,0.2825175642317748,0.34805661452171244,0.3694258212465128,0.15207170375029486,0.0962336844145774,0.11192239952561754,19694,32725,16044,967975,131232,269733,2982,3304,0.0076
10,felipe_prior,36649,87341,103775,0.16090707527495446,0.3834698044036617,0.4556231203213839,0.2881437219907225,0.35272761049366763,0.4592261193567516,57998,114917,54850,6664432,1291988,642881,12535,95402,0.5672999999999999
11,thelma,17955,24812,27001,0.25735294117647056,0.35563582158009405,0.3870112372434354,0.32766392320747484,0.4007882664599082,0.3650115582712611,27203,30219,12346,1936851,246960,385019,6991,5144,0.3628
11,babu,20279,20221,25199,0.3086652764882266,0.30778246244235075,0.3835522610694227,0.3700750041060642,0.3266298378238677,0.3406513187243995,34274,22080,9345,1665136,256280,638797,4340,1342,0.041100000000000005
11,gabi,16563,16875,21773,0.2999945663001938,0.3056456140986398,0.3943598196011665,0.30226107268646096,0.2725818957162241,0.2943371230043394,31402,15752,8057,1077768,170734,237780,749,15739,0.5961
12,babu,29957,32648,47083,0.2731110057617971,0.2976442272627817,0.4292447669754212,0.4851021796158953,0.42055364480684265,0.34765048142241123,21427,62080,26181,3759526,599438,638797,2911,1151,0.0106
12,flayslene,20426,24958,50428,0.21318832714065045,0.2604892915292448,0.5263223813301048,0.33076399909317616,0.321495278947843,0.3723492232264162,41768,42203,11841,2086839,378441,194492,1975,14354,0.4918
12,marcela,11371,20025,37921,0.16404345254410896,0.2888901712422638,0.5470663762136273,0.18413382129092853,0.2579510762453144,0.2800002953511725,35033,24881,9403,1740385,325734,241491,449,25937,0.4976
13,flayslene,13068,18621,26901,0.22304147465437787,0.3178187403993856,0.4591397849462366,0.3807470427131286,0.3921366297435033,0.4332442182567803,28215,20309,10066,1062669,147817,194492,1989,14457,0.63
13,thelma,6473,12191,10209,0.22418868839400133,0.422228379454854,0.3535829321511447,0.1885962356506031,0.2567282988670345,0.16441731624041744,4695,13689,10489,511010,48287,385019,1552,7098,0.3653
13,babu,14781,16674,24982,0.261902652515194,0.2954444779134256,0.4426528695713805,0.4306567216362683,0.3511350713894621,0.4023384655028023,20133,28748,7556,1861887,264739,638797,1740,678,0.004699999999999999
14,babu,36145,48034,66032,0.2406281830225483,0.3197768472348896,0.4395949697425621,0.4775841338213338,0.3660402664106198,0.4942071071460648,57766,59614,32831,3730971,617153,638797,4318,20326,0.4133
14,gizelly_bicalho,25246,64315,43061,0.19036057366047865,0.4849497066851654,0.324689719654356,0.3335755717928729,0.4901086674896743,0.32228392659341976,14545,77274,40803,984954,140133,313866,2279,17902,0.5478999999999999
14,mari,14292,18877,24519,0.24774649840521426,0.3272257661905422,0.4250277354042435,0.18884029438579336,0.14385106609970585,0.18350896626051552,22893,28429,6366,857323,89995,269733,1998,2469,0.0388
15,thelma,7309,8639,5587,0.33940097515672163,0.4011609008590665,0.2594381239842117,0.21934457715623312,0.20790816326530606,0.16586509915686973,6029,11039,4467,544402,54282,435560,979,900,0.1952
15,rafa,17952,22481,18858,0.3027778246276838,0.3791637853974465,0.3180583899748697,0.5387431726787107,0.5410329226030035,0.559850374064838,12452,19858,26981,1672114,195010,701159,2419,1061,0.06309999999999999
15,ivy,8061,10432,9239,0.29067503245348336,0.3761719313428529,0.3331530362036637,0.2419122501650561,0.2510589141316904,0.27428452677829235,21090,3936,2706,781071,147083,117464,404,9640,0.7417
16,manu_gavassi,37097,57548,33531,0.28942235675945577,0.4489764074397703,0.26160123580077393,0.5384727040483068,0.5690891290804269,0.3573666709297864,8348,65859,53969,2777914,287943,4916179,15957,27271,0.4126
16,babu,13265,19519,39496,0.1835224128389596,0.2700470392916436,0.5464305478693968,0.19254496102651936,0.1930223589094469,0.4209404442170781,30713,37056,4511,756662,51204,735315,3229,3266,0.0458
16,mari,18531,24056,20801,0.2923423991922761,0.37950400706758375,0.3281535937401401,0.2689823349251738,0.2378885120101263,0.2216928848531355,9861,33329,20198,1492459,174831,344116,6314,25433,0.5416
17,thelma,16700,16282,15899,0.3416460383380045,0.3330946584562509,0.3252593032057446,0.31094643156385576,0.22226772599448494,0.2262236767216847,20467,10328,18086,1608251,229474,690074,6564,6057,0.3141
17,rafa,16158,31861,15721,0.2534985880138061,0.4998588013806087,0.2466426106055852,0.3008546371981306,0.4349387064187621,0.2236909504837792,10018,34744,18978,986666,86307,998093,4966,4213,0.1144
17,babu,20849,25111,38660,0.2463838336090759,0.2967501772630584,0.4568659891278658,0.3881989312380137,0.3427935675867529,0.5500853727945362,22285,36480,25855,1636579,226979,948839,3440,25604,0.5715
